02 Token Inválido
28 Token Inválido
26 Token Inválido
2024-02-11 12:00:10.480910 - 22 Token Inválido
2024-06-13 21:00:05.960111 - \\192.42.103.17\propaganda\publicador_facebook\img\img06.png não foi encontrada
2024-06-14 09:00:11.412220 - \\192.42.103.17\propaganda\publicador_facebook\img\img16.png não foi encontrada
2024-06-14 12:00:13.752879 - \\192.42.103.17\propaganda\publicador_facebook\img\img25.png não foi encontrada
2024-06-14 18:00:06.659764 - \\192.42.103.17\propaganda\publicador_facebook\img\img07.png não foi encontrada
2024-06-14 21:00:06.479628 - \\192.42.103.17\propaganda\publicador_facebook\img\img17.png não foi encontrada
2024-06-15 09:00:11.327419 - \\192.42.103.17\propaganda\publicador_facebook\img\img26.png não foi encontrada
2024-06-15 12:00:07.375881 - \\192.42.103.17\propaganda\publicador_facebook\img\img08.png não foi encontrada
2024-06-15 18:00:05.337564 - \\192.42.103.17\propaganda\publicador_facebook\img\img18.png não foi encontrada
2024-06-15 21:00:04.625745 - \\192.42.103.17\propaganda\publicador_facebook\img\img27.png não foi encontrada
2024-06-16 09:00:09.938046 - \\192.42.103.17\propaganda\publicador_facebook\img\img09.png não foi encontrada
2024-06-16 12:00:08.137815 - \\192.42.103.17\propaganda\publicador_facebook\img\img19.png não foi encontrada
2024-06-16 18:00:05.749810 - \\192.42.103.17\propaganda\publicador_facebook\img\img28.png não foi encontrada
2024-06-16 21:00:04.962948 - \\192.42.103.17\propaganda\publicador_facebook\img\img10.png não foi encontrada
2024-06-17 09:00:15.212326 - \\192.42.103.17\propaganda\publicador_facebook\img\img01.png não foi encontrada
2024-06-17 12:00:04.961841 - \\192.42.103.17\propaganda\publicador_facebook\img\img11.png não foi encontrada
2024-06-17 18:00:06.051387 - \\192.42.103.17\propaganda\publicador_facebook\img\img20.png não foi encontrada
2024-06-17 21:00:04.547273 - \\192.42.103.17\propaganda\publicador_facebook\img\img02.png não foi encontrada
2024-06-18 09:00:11.757928 - \\192.42.103.17\propaganda\publicador_facebook\img\img12.png não foi encontrada
2024-06-18 12:00:06.038515 - \\192.42.103.17\propaganda\publicador_facebook\img\img21.png não foi encontrada
2024-06-18 18:00:04.879382 - \\192.42.103.17\propaganda\publicador_facebook\img\img03.png não foi encontrada
